chr	cpg	count_c	total_coverage
6	6990172	0	5
1	11799509	0	1
3	12571419	0	3
2	9092480	0	6
1	13754618	0	12
9	2941347	0	16
180	20659	0	5
4	8324106	0	15
10	6514015	0	4
5	9531265	0	20
4	13149230	1	47
22	23333	0	3
6	9505731	0	21
5	6394499	0	2
2	4483577	0	1
10	2549793	0	12
7	11823837	0	12
3	7136236	0	10
7	11718725	0	3
2	13220611	0	6
1	834776	0	1
6	6767850	0	11
7	11744103	0	16
8	7000373	0	7
3	6629244	0	17
3	7106151	0	2
1	18589712	0	3
7	11851902	0	13
1	1359956	0	6
8	10359941	0	5
3	8493609	0	18
2	9270965	0	3
7	10790524	0	11
2	1387483	0	1
9	5730566	0	8
39	156577	0	1
2	14387544	0	18
10	6656950	0	15
5	4450056	0	4
2	10329068	0	20
2	9988430	0	5
1	15068771	0	14
8	1603009	0	1
8	9466446	0	25
10	219165	1	23
4	2039640	0	15
2	8696653	1	18
5	2657670	0	1
2	11337203	0	17
7	7783529	0	11
9	3005729	0	10
1	1712184	2	24
7	12185535	0	8
4	3257263	0	6
8	470352	0	4
1	13899265	0	11
35	134106	0	8
2	13996826	0	4
6	10248594	0	5
3	6667150	0	31
1	13736469	0	21
8	5451485	0	2
1	15827856	0	4
1	17047713	0	10
3	7310790	0	9
9	6371622	0	1
10	570105	0	9
2	8827861	0	6
1	16721120	0	2
5	5936524	0	1
4	4592757	0	4
7	10570328	0	7
2	8246139	0	12
31	39889	0	5
6	8883708	0	19
9	1986367	0	11
1	8434610	0	23
2	17460226	0	6
4	10592228	0	13
2	1224038	0	10
4	10305530	0	10
1	6480856	0	5
7	6510049	1	5
1	16943250	0	9
2	13525428	0	4
9	8534051	1	17
8	10214494	0	7
2	11755193	0	4
3	436918	0	10
5	866262	0	4
1	9685270	0	10
1	18699619	0	26
6	8536934	1	15
1	2086272	12	14
7	11175015	0	1
10	8334711	0	7
2	3903384	0	33
10	7829335	0	31
1	2074414	0	25
4	5649726	0	10
5	9448173	0	21
2	18563914	0	10
7	2351800	0	12
4	4242352	0	2
2	17952944	0	2
7	6463007	1	5
3	11024556	0	32
1	16324773	1	15
7	2854968	0	25
6	6837023	0	21
9	2414194	0	12
8	4974083	0	9
4	1331990	0	4
7	10319657	0	16
4	10763073	1	16
8	96368	0	5
7	13113809	0	13
3	4747770	0	11
10	8727265	0	10
4	10752197	0	20
2	15472956	0	7
1	5451258	0	1
2	15979659	0	14
9	523073	11	11
2	15193175	0	7
3	4846818	0	14
4	8546639	0	20
2	11502022	0	9
3	4173844	0	8
7	9760229	0	5
32	9435	0	3
4	6227277	0	18
2	3457563	0	19
5	9312115	0	1
8	3569629	0	2
1	15700036	0	10
4	10446605	0	6
3	6630328	0	13
10	2693848	0	5
10	1388570	0	4
5	8424244	0	14
6	828081	0	12
9	8396489	1	2
219	43262	0	37
1	8162047	0	11
2	16269629	0	13
1	8731692	0	3
6	10273301	0	11
3	2670297	1	29
5	9768640	0	15
3	116471	0	15
10	1773005	0	7
9	10203734	0	6
1	16088762	0	11
2	5771400	0	9
7	5170018	0	7
9	2710261	0	8
2	17350360	0	8
2	9633319	0	9
10	9296091	0	7
8	6373277	0	23
4	6158657	0	6
7	11352251	0	10
2	3117962	0	5
2	8482555	0	9
2	8531209	0	6
10	3134762	0	17
2	8459722	0	14
9	757310	0	13
6	9588928	0	5
4	8480615	0	3
2	7639228	0	4
2	7602054	0	10
4	8958575	0	6
1	3691648	0	4
4	8454054	0	9
7	8148946	0	8
3	5410064	0	6
8	10814425	1	25
3	7007954	14	15
4	9962087	0	11
33	200121	0	1
3	4573215	0	7
7	967416	0	13
1	10808256	0	7
9	7766330	0	9
1	4293881	0	4
3	7600432	0	1
10	133572	0	14
5	7340689	0	5
8	6615726	0	6
9	3593690	0	16
6	7761430	0	12
2	7160259	0	8
40	59615	0	12
4	8246594	0	10
2	13463238	0	11
1	12179824	0	14
1	12488946	2	11
1	5670170	0	12
2	15145133	1	10
3	968144	0	2
2	16269396	1	18
7	1364736	0	19
3	3996603	0	5
4	38270	0	20
159	40844	0	2
1	9303635	0	1
6	672117	0	20
7	3344939	0	6
2	10133242	0	13
2	16366065	0	17
4	450066	0	20
2	2676503	0	18
226	28554	0	6
7	5859872	0	10
40	79130	0	9
6	458420	0	15
6	4831242	0	8
8	7287124	0	18
6	7234761	0	1
98	78664	0	12
12	13571	0	4
10	5049029	0	4
31	100139	0	7
5	7126330	0	4
5	3018825	0	4
5	3094027	0	11
8	9771178	0	11
1	4038735	0	2
5	11943285	0	9
2	12462874	0	8
7	71327	0	37
8	10306603	0	12
1	4629873	0	17
3	1171167	0	13
12	5392	0	1
7	6718408	0	1
4	4659479	0	15
4	3712544	0	17
4	10826813	0	1
4	12897676	1	21
9	9339669	0	2
8	721054	0	14
9	3351919	0	7
37	103571	0	2
9	1490673	0	8
8	7387695	0	11
8	3696315	0	16
6	4176522	0	17
3	10445079	0	13
1	5261270	0	2
5	11426112	0	14
4	12836360	0	8
37	21118	0	5
2	4124785	0	5
7	11227682	0	18
1	12402468	0	11
5	8150837	0	3
1	13955390	0	6
11	349967	0	1
3	3046205	6	6
2	11667318	0	14
3	253907	0	9
251	16781	0	22
1	16990890	0	2
2	4620118	0	11
2	11971712	0	4
1	7444234	0	6
4	11801265	0	7
6	3078839	0	13
7	11184868	0	7
3	11641442	0	18
8	6606851	0	6
1	15492570	0	1
8	6424497	0	9
3	2536878	0	11
8	9342770	0	17
2	7407390	0	14
4	7354886	0	17
7	10948341	0	3
2	14219901	0	13
10	2626126	0	4
8	3404650	0	4
10	7688580	0	5
6	5990736	0	5
8	9038123	0	13
2	14143145	0	9
5	3396700	0	14
8	7356413	0	9
4	12494079	0	5
7	4081364	1	18
1	9726487	0	2
10	4944616	0	15
9	135116	0	14
10	6668786	0	6
9	8951701	0	10
1	11465119	0	5
8	1518947	0	1
1	13319430	0	9
3	12531162	0	2
6	910425	0	5
5	2713840	0	3
6	8105535	0	15
10	2125032	0	7
4	1081485	0	12
3	1465235	0	21
6	10195787	0	16
2	2382706	0	7
9	1923104	0	1
3	8729289	0	7
3	3155841	0	7
6	7238512	0	10
6	7213769	0	13
5	150252	0	3
8	2165378	1	18
7	11977056	0	6
1	7191219	0	5
2	934125	0	21
10	6105816	0	12
4	8592280	0	7
2	2759653	1	11
3	714190	0	4
5	9766303	0	16
5	1825859	0	14
4	12731963	0	1
7	13250514	0	1
305	7762	0	17
10	3662307	0	21
7	970077	0	13
2	833601	0	3
1	4082907	0	5
1	12477534	0	7
2	4496643	0	7
1	3810464	0	16
30	117611	0	6
6	2812562	0	3
6	5754084	0	4
10	7959546	0	4
7	5559805	0	6
9	5940046	0	7
18	170886	0	15
8	3146901	0	6
1	8856026	0	4
3	9559672	0	11
1	4090059	0	4
4	8403953	0	5
4	11231398	0	13
9	340560	0	6
1	6778694	0	11
3	8257994	0	4
4	737602	0	21
1	14329789	0	13
2	14212834	0	12
4	3312729	0	11
7	9994640	0	17
1	6634862	0	6
3	12384459	0	21
9	815171	0	8
8	2530168	0	18
1	6285634	0	3
7	5587931	0	5
2	18430317	0	15
1	16012991	0	12
3	11010701	0	33
44	115570	0	10
1	6941978	0	4
6	5561834	0	2
4	5578137	0	13
2	3226965	0	16
10	8901492	0	4
2	16312881	0	19
1	12292692	0	2
2	7846905	0	12
6	5270805	0	6
3	760583	0	23
6	10202736	0	13
5	8939091	0	15
2	18395571	0	15
1	16774493	0	2
1	4101385	0	18
1	582467	0	15
8	1867222	2	16
7	7161253	0	14
1	11532353	0	11
5	10515747	0	3
15	400141	0	7
10	1280727	0	5
2	15121153	0	21
5	6408729	0	12
7	8989114	0	2
9	521985	0	2
4	3530480	0	9
1	9237355	0	1
1	1104509	0	22
1	13231866	0	7
9	4680722	0	12
2	1409310	0	14
9	2105681	0	5
10	8972215	0	27
8	1200999	0	5
5	10353772	0	5
62	26083	0	1
7	9729877	0	1
4	9510369	0	7
10	5791715	0	8
1	2593708	0	16
4	97810	0	15
6	2433372	0	15
2	2711406	0	21
9	589993	0	8
2	18191450	0	7
1	2122086	1	21
8	2640449	0	3
9	769556	0	6
3	10165497	0	5
3	10467672	0	7
104	5340	0	3
10	5981835	0	13
8	8341499	0	3
9	812391	0	9
1	1370765	0	5
10	7267755	0	12
5	10363828	0	7
9	2107255	0	5
10	3056413	0	5
23	94285	0	1
8	5689899	0	15
8	918694	0	6
2	12617228	0	9
5	9056561	0	18
2	5444180	0	15
4	13134101	0	26
6	9043671	0	17
6	6772999	0	3
211	29136	0	2
2	16807947	0	12
4	618592	0	20
6	2877207	0	15
6	1718729	0	1
3	11175221	0	17
4	6253765	0	6
10	2021705	0	5
6	4932896	0	8
7	10739088	0	76
1	10554228	1	12
5	1147863	0	7
6	5777393	0	12
4	9382038	0	17
7	10663694	0	1
2	18877383	0	7
4	11441333	0	5
4	1634776	0	19
6	5678313	0	17
2	9099309	0	8
1	2720553	0	15
5	1970254	0	7
7	10532410	0	7
6	4864561	1	9
2	2353685	0	5
3	2133471	0	4
1	14386568	0	12
3	3048935	0	5
2	4955677	0	16
10	5750930	0	4
3	204112	0	4
7	6910554	0	4
9	8558497	0	8
6	268075	0	17
5	5589130	0	1
2	18633184	0	6
7	7369231	0	4
1	10660377	0	9
61	30191	0	8
7	8364694	0	12
4	2294909	0	12
7	2136213	0	6
1	16939019	0	6
5	11011769	0	1
1	2598908	0	13
183	13433	0	6
2	14181223	0	9
4	12769703	0	5
7	7618137	0	9
2	9052657	0	2
4	1382058	0	16
1	3017139	0	1
9	5967731	0	9
1	12448762	0	9
8	9364192	0	3
1	8199936	0	8
4	1106223	0	18
6	7896766	0	20
8	9947723	0	5
9	7500626	0	1
123	57076	0	26
1	3127203	0	12
5	10017406	0	9
2	7443812	0	13
1	10217566	0	7
3	12529935	0	12
6	9681337	0	6
2	17499676	0	9
7	7486119	0	20
8	2891818	0	4
3	3093891	0	4
4	3911749	0	21
3	3693447	0	6
10	8524874	0	11
1	1411457	0	1
6	3359627	0	14
9	8933435	0	1
3	7854384	0	22
9	3296638	0	12
1	15462213	0	9
89	59650	0	23
9	4853697	0	3
2	572897	0	10
4	10228783	0	6
1	16095059	0	10
2	7850828	0	6
9	4416875	0	21
20	51587	0	2
5	6103170	0	2
7	9427604	0	2
197	5275	0	44
8	4875411	0	3
7	8185862	0	19
1	2629173	0	1
1	9763202	0	1
1	16842732	0	1
10	6005810	0	14
3	7167936	0	23
8	4564652	0	4
3	9406718	0	35
9	3461655	0	13
2	11541461	0	2
5	3096450	0	9
7	7051785	0	17
9	2328296	0	3
4	5670988	1	19
2	17374137	0	18
6	3060633	0	25
10	8336532	0	15
6	959767	0	14
1	3061740	0	16
7	12212786	0	9
6	7901255	0	14
9	7349409	0	1
20	83724	0	4
2	5363991	0	13
9	570602	0	6
6	10064163	0	5
4	360072	0	13
7	648990	0	1
1	1512260	0	3
1	13518699	0	8
9	2478495	0	11
2	1052552	0	18
4	7232296	0	14
8	8246846	0	14
1	9660023	0	18
8	9387377	0	17
3	9883897	0	14
2	2313971	0	1
1	10931212	0	4
7	11158226	0	6
4	9001796	0	11
3	10823433	0	6
7	13100138	0	13
9	1846997	0	2
3	10007673	0	3
7	861943	0	30
4	3136644	0	16
1	15828567	0	13
2	8082874	0	16
84	54255	0	2
6	3398904	0	1
10	6483503	0	16
1	16117193	0	5
6	8106995	0	20
7	7998089	0	2
2	16915302	0	5
9	10003466	0	16
2	13460464	0	10
2	10144864	0	4
5	5525431	0	1
8	7796274	0	6
2	9495218	0	25
7	4637025	0	14
8	3600064	0	4
3	5410789	0	6
6	1618165	1	9
50	6293	0	1
6	3632267	2	34
7	1740103	0	6
9	312072	0	11
4	1553358	0	26
2	17170623	0	6
4	10978948	0	3
4	13248291	0	20
8	6689642	0	10
34	131552	0	1
7	7803794	0	1
4	10957858	0	31
1	9971352	0	7
6	6648188	0	12
6	9216269	0	10
1	4040050	0	5
5	6896669	0	9
12	267138	0	5
2	5190652	0	15
2	12914413	0	13
3	5094637	0	2
5	5455029	0	5
7	12513488	0	12
5	9453656	1	9
1	12277415	0	18
2	18852157	0	14
2	6342442	0	11
7	1289761	0	21
1	13152239	0	16
10	2614415	1	13
1	19071180	0	13
4	2389988	0	12
6	10068988	0	4
9	1974732	0	10
1	3108628	0	13
1	2281726	0	14
4	8262398	0	15
6	2901215	0	8
8	9898437	0	1
8	10094387	0	1
3	13364649	0	5
1	11427137	0	5
8	9336599	0	5
7	52491	0	1
4	8896557	0	7
7	1843705	0	18
10	7233783	0	5
2	13440897	0	7
10	2206286	0	4
7	11078828	0	17
2	8027614	0	3
8	3673999	0	8
4	376080	0	8
6	6082865	0	4
2	8024140	0	6
1	2569733	0	9
189	25769	0	1
2	4947658	8	10
10	453986	0	14
6	9148307	0	10
10	1596946	0	14
3	4516713	0	17
3	3393814	0	3
3	1546318	0	16
7	10278704	4	4
3	3536719	0	9
6	4349793	0	13
8	10123935	0	5
5	208352	0	18
1	14801152	0	8
7	9521274	0	19
1	16118751	0	9
2	13253950	0	9
4	8307968	0	23
5	971256	0	8
4	5694579	0	3
1	1732738	0	11
145	30451	0	8
9	3994286	1	12
6	5839245	0	3
7	5648593	0	17
6	9955930	0	24
3	9163670	0	8
7	1030285	0	18
4	12463028	0	1
4	11595539	0	4
61	75315	0	1
6	9238633	0	17
5	4109752	0	5
2	9038372	0	9
197	47085	0	5
1	8029964	0	10
6	5376572	0	16
9	9274168	0	22
5	6249564	0	17
261	12348	0	1
9	9653586	0	13
6	5579808	0	6
2	10320221	0	1
4	11729690	0	17
8	647571	0	8
9	8779654	0	18
4	10834123	0	1
7	12711796	0	19
1	18063747	0	10
10	8291995	0	17
20	100762	0	14
9	308032	0	13
25	11197	0	138
5	9323287	0	6
1	18020581	0	17
8	5732849	0	5
1	2382888	0	4
4	125042	0	14
3	1580788	0	11
3	751988	0	3
4	8457684	0	3
6	1868803	0	4
9	5826920	0	4
1	11956575	0	6
6	2587151	0	24
104	28715	0	1
7	8261627	0	9
8	1907129	0	1
1	11362312	0	27
7	12888779	0	2
26	177761	0	62
52	68172	0	6
9	5786814	0	7
2	17768298	0	29
9	8937364	0	9
5	10998752	0	1
10	8798058	0	9
2	12156572	0	8
60	89058	0	1
4	1634933	0	22
9	134159	0	19
70	59284	0	1
4	267356	0	15
2	118221	0	16
1	15174184	0	6
6	2108610	0	15
1	15269377	0	5
3	9869841	0	1
4	2932415	0	20
5	8906557	0	5
4	6088954	0	16
7	6269690	0	15
1	12399725	0	4
8	640046	0	6
8	7405896	0	4
3	5715315	0	5
7	1338259	0	10
3	8338645	0	26
2	17258727	0	6
2	3937077	0	11
10	3263631	0	2
3	11094077	0	23
7	8696894	0	6
2	4847924	0	2
8	2818037	12	13
10	8612006	0	21
9	2366416	0	4
8	4089288	0	7
2	13911621	0	1
8	7403018	0	18
4	12238043	0	11
4	3901970	0	4
7	7530169	0	3
18	185114	1	9
1	12978564	0	32
2	17980799	0	17
7	10363038	0	16
1	10667174	0	12
6	9631391	0	7
9	2275511	0	24
9	8877609	0	1
1	6743004	0	1
4	10640496	0	16
5	3409754	0	13
3	5291644	0	15
3	10741496	0	31
2	16958196	0	18
7	9939888	0	5
10	3631511	0	6
1	12187588	0	5
79	91645	0	7
2	18836541	0	1
3	9679160	0	27
5	215471	0	6
9	2442855	1	16
7	10764813	0	16
26	24430	0	9
226	33490	0	1
5	6731939	0	5
9	6171592	0	4
1	12700008	0	2
10	6650609	0	16
3	11649068	0	9
5	7762195	0	1
5	8925831	0	1
5	11721536	0	3
5	8231848	0	14
6	6369088	0	14
9	641759	0	15
7	6734545	0	32
6	10036669	0	18
8	9221301	0	9
1	8158212	0	7
4	2937807	0	6
13	507164	0	2
3	1310871	0	16
135	53208	0	17
1	6465126	1	9
9	2873853	0	7
7	10990870	0	8
7	11768686	0	5
8	2865333	0	23
8	3423763	0	4
2	4421383	0	6
1	10278101	0	2
3	597325	0	1
5	605969	0	9
7	10419260	0	12
5	3655442	0	6
6	9492780	0	2
10	9097389	0	16
5	10180693	0	7
1	6933953	0	2
33	27584	0	6
2	16277030	0	7
8	10413060	0	3
10	2590988	0	4
65	85690	0	4
3	6893825	0	3
30	148512	0	11
9	588061	0	9
3	5584612	0	13
7	7165687	0	10
3	5900609	0	14
6	5609457	15	16
5	11386890	0	6
8	715268	0	9
7	666777	0	7
58	84811	0	12
6	1796649	0	10
6	3370676	0	14
40	63587	0	17
7	12254873	0	8
2	14241009	0	7
4	6604898	0	3
2	10302740	0	4
1	18089044	0	25
1	4498172	0	13
2	1711562	0	4
6	555192	0	23
2	15098820	0	2
106	23667	0	4
1	16901585	0	16
8	2859784	0	8
3	7363533	0	8
2	5977595	0	13
1	15916122	0	19
1	6304481	0	8
1	10417821	0	6
5	2280716	0	5
2	12093309	0	3
8	1723983	0	5
6	2160414	0	4
10	4584610	0	14
1	18054488	0	9
8	7254673	0	4
2	444855	0	3
5	8589177	0	8
2	11920505	0	8
6	2017347	0	19
4	13095234	0	6
3	4315358	0	16
1	16421011	0	23
6	9560929	0	12
4	6429688	0	2
3	10207156	0	12
7	7678404	0	9
4	11385600	0	9
5	9729073	0	10
9	485260	0	16
9	6001374	0	6
9	7666689	0	19
6	10011600	0	7
10	4649903	0	9
2	11435287	0	10
9	5295405	0	4
9	424790	0	14
4	7641795	0	6
8	6323127	0	16
5	9998829	0	1
10	5000461	0	5
2	14480389	0	4
2	10617846	0	3
6	4894497	0	20
8	5075214	0	8
2	717858	0	9
1	5707883	0	4
2	18838122	0	11
5	7267958	0	18
1	3709655	0	11
4	11442798	0	11
2	11365729	0	1
3	7522192	0	1
9	7822127	0	13
1	3635564	0	2
2	1743219	0	5
8	1827424	0	10
7	6687294	0	2
8	8658293	0	6
7	386908	0	4
2	10763892	0	2
9	4829625	0	6
7	11628866	0	10
3	5762427	0	2
8	7054372	0	23
4	5598027	0	1
9	3761602	0	12
4	393379	0	16
8	770491	0	15
3	3483738	0	9
10	6589282	0	2
3	10832725	0	8
4	5637790	1	15
2	18452659	0	9
271	26500	0	1
12	468310	0	1
10	4574184	0	9
10	6877667	0	4
6	9534483	0	14
3	1205526	0	1
3	10822812	0	9
7	5123898	0	16
8	3340802	0	5
33	60737	0	5
3	7850381	0	5
1	13165463	0	5
7	3857930	0	5
5	10866692	0	22
6	4554108	0	33
8	6302252	0	11
25	85557	0	13
4	8620286	0	5
7	3817736	0	4
1	15593677	0	10
4	3206970	0	13
8	9409051	0	1
5	10276084	0	13
8	109214	0	7
3	10358809	0	3
49	27166	0	1
3	1335894	0	6
10	1038748	0	11
1	6445353	0	19
1	15630763	0	10
3	171972	0	19
6	5926355	0	15
10	3246703	0	10
11	763573	0	2
2	4948305	0	8
7	11358686	0	16
1	18513972	0	8
4	9326929	0	17
2	176433	0	11
8	1414326	0	16
1	17015493	0	10
4	3973719	0	12
7	16068	0	1
8	9564517	0	5
2	5959969	0	5
8	3577837	0	12
10	1901573	0	7
3	1300233	0	15
4	4106129	0	7
121	41240	0	5
3	13001704	0	7
6	350378	0	2
9	1457028	0	2
1	12146158	0	2
9	8185998	0	8
8	1631901	0	14
10	9238477	0	35
10	1245778	0	6
5	6510318	0	12
3	164990	0	16
4	5564562	0	3
6	8483550	0	2
25	66820	1	21
6	2837821	0	11
7	11357608	0	16
6	10275117	0	3
1	2043336	0	10
9	10164488	0	5
3	6866326	0	12
3	8198554	0	11
3	575495	0	11
9	5794761	0	7
3	4769969	0	21
2	14741295	0	5
6	9083917	1	29
5	9932130	0	8
10	558268	0	20
1	4072123	0	26
4	79693	0	1
2	17366034	0	19
6	833350	1	7
7	5073066	0	19
2	16682810	0	16
9	2992113	0	1
10	9388162	0	5
1	2883849	0	12
5	9371049	0	3
5	5696777	0	1
2	9635951	0	9
8	6991446	0	7
3	12284935	0	21
2	3821758	0	21
11	1833543	0	1
6	6585316	0	14
9	5628860	0	3
7	11476644	0	10
8	6378875	0	5
6	2153453	0	1
5	8933097	0	5
1	1920000	0	29
3	11533952	0	9
5	2888584	0	28
5	6374740	0	6
9	10177558	0	13
3	1489859	0	13
3	953743	0	13
10	597297	0	10
1	17421409	0	5
2	12710826	0	13
2	6936933	0	16
6	9729584	0	20
1	16245199	0	10
291	17868	0	1
1	4771982	0	2
2	8098945	0	13
4	7294557	0	8
6	7724515	0	15
33	15867	0	2
4	10539836	0	15
6	3774057	0	15
2	5904925	0	1
4	3220503	0	12
8	6882907	0	3
78	41668	0	4
5	1815371	0	17
9	495578	1	7
8	487583	0	12
1	14194060	0	12
2	6590749	0	1
5	1968067	0	17
6	4855312	0	8
3	9347983	0	6
4	12236742	0	3
6	5574854	0	1
8	7755509	0	15
7	4556545	0	11
2	8758489	0	12
1	14835222	2	12
5	9707353	0	32
8	4143142	0	15
10	4899435	0	3
6	8643156	0	9
2	8264575	0	6
10	4063363	0	15
5	4947205	0	11
5	12217268	0	15
1	5579605	0	5
7	8441587	0	5
9	4067395	0	10
3	4023901	0	18
5	6249990	0	19
7	6278795	0	35
10	6875504	0	4
9	9053191	0	3
1	3509306	0	5
2	8288141	0	3
7	2691721	0	1
1	17938189	0	8
4	6917358	0	5
2	13975635	1	7
10	2584127	0	13
116	19547	0	22
3	4470200	0	2
1	3179370	0	10
2	18935164	0	10
1	12640519	0	18
2	13239164	0	6
74	58897	0	5
2	851907	0	3
6	1999238	0	1
7	6409922	0	7
9	4671420	0	3
5	7223697	0	16
4	9578838	0	21
7	12043217	0	9
5	862671	0	29
17	149608	0	5
10	2176222	0	5
7	9972284	0	5
11	1636929	0	8
1	9832149	0	8
6	8947566	0	7
12	38674	0	9
6	8241797	0	7
1	16990501	0	6
5	5947241	0	2
1	757956	0	2
2	16553902	0	14
4	1765995	0	21
3	11411196	0	16
2	18833443	0	18
3	10198795	0	6
8	7901345	0	1
10	6268535	0	3
1	13530266	0	3
5	245549	0	5
3	10151538	0	21
1	5864215	0	5
15	407697	0	11
4	3180166	0	11
7	13208522	0	16
9	1236513	0	15
9	1279451	0	6
2	6512607	0	6
8	8819971	0	8
8	8199774	0	9
3	6228525	0	14
213	46339	0	1
6	8747033	0	17
2	7613356	0	16
8	5928667	0	5
7	13524952	0	6
4	185082	0	18
6	7374203	0	10
3	1966699	0	11
5	9141571	0	13
3	3169161	0	7
10	1645258	0	16
9	1469058	0	21
7	12662822	0	11
125	63996	1	22
3	8275758	0	18
7	1688155	0	12
11	1504518	0	3
4	2547078	0	12
10	8746982	0	19
1	930831	0	20
1	3191630	4	6
7	9626699	1	20
5	240969	0	5
1	16360897	0	5
10	2237185	0	4
2	13248986	0	7
2	7846382	0	1
6	281330	0	12
10	1861278	0	10
10	5193564	0	2
1	5347099	0	26
1	3241362	0	4
2	8811971	0	1
1	15206870	0	19
1	13244241	0	1
10	6978866	0	7
2	2317911	0	27
3	2767125	0	11
5	3470770	0	2
5	5404267	0	5
4	5742932	0	6
2	17208850	0	13
7	4559943	0	2
4	11855894	0	17
5	2374862	0	18
2	17056717	0	14
8	930566	0	9
2	5033232	0	15
3	4736226	0	19
3	5346155	0	23
8	8361884	0	19
78	81355	0	3
9	6142644	2	48
1	7864900	0	12
6	2421635	0	18
70	32619	0	14
1	12813889	0	1
7	10351940	0	7
3	2549939	1	16
9	82893	0	5
2	8790169	0	13
4	1553153	0	13
1	3185225	3	3
3	2710918	0	15
8	9898676	0	4
7	1527114	0	6
3	8580996	0	15
7	1621537	0	6
5	3095620	0	19
6	37386	0	3
8	1633155	0	13
2	16145290	0	13
5	11525708	0	5
2	9522821	0	2
2	1974098	0	1
5	10612188	0	13
14	254358	0	7
6	5028609	0	17
10	1969630	0	19
1	17608799	0	11
8	1438335	0	20
2	636827	0	17
7	4908791	0	1
6	1772708	0	4
6	8700390	0	2
3	9878396	0	2
7	3809948	1	26
4	5062240	0	10
6	1673928	0	5
9	5328923	0	14
7	11679547	0	18
9	9919604	0	9
2	17269266	0	12
7	9933061	1	20
1	16366483	1	3
5	2889836	0	8
8	1798015	0	9
8	7684009	1	14
9	93416	0	22
1	12105911	0	2
17	163273	0	5
3	8342532	0	22
6	6806534	0	2
9	3015196	0	26
1	14461770	0	12
1	15442275	10	10
8	7709491	0	11
3	8787091	0	6
3	3467512	0	16
10	3933746	0	13
2	14990460	0	5
49	3088	0	8
1	5981339	0	8
7	9113399	0	5
2	714840	0	4
4	2356392	0	3
3	8910326	0	9
158	374	0	13
5	7827801	0	9
10	849200	0	2
1	6288617	0	1
5	7936313	0	6
2	5927888	0	10
1	10157260	0	13
2	12633916	0	8
11	590353	0	3
32	133566	0	11
8	9216995	0	7
10	5070938	0	13
2	14212345	0	3
3	9247659	0	18
4	11684347	0	17
1	15237321	0	1
5	10165793	0	8
10	7990707	0	6
5	6856923	0	5
1	15023618	0	13
8	1938622	0	4
4	1414970	0	3
8	1078324	0	11
9	2233876	0	1
10	1944739	0	15
2	11936061	0	12
7	11363893	0	16
4	5913849	1	16
9	1991349	0	7
3	13701782	0	11
1	12422717	0	17
